index,ticker,time,price_to_book,median_vol,raise_from_lowest_price,raise_from_highest_price
754,BRC,2019-03-31,0.5,3150.0,x1.5,N
755,BRC,2019-06-30,0.6,3150.0,x1.5,N
756,BRC,2019-09-30,0.5,3150.0,x1.5,N
757,BRC,2019-12-31,0.6,3150.0,x1.5,N
758,BRC,2020-03-31,0.6,3150.0,x1.5,N
759,BRC,2020-06-30,0.6,3150.0,x1.5,N
760,BRC,2020-09-30,0.5,3150.0,x1.5,N
761,BRC,2020-12-31,0.6,3150.0,x1.5,N
762,BRC,2021-03-31,0.7,3150.0,x1.5,N
763,BRC,2021-06-30,0.7,3150.0,x1.5,N
764,BRC,2021-09-30,0.9,3150.0,x1.5,N
765,BRC,2021-12-31,0.8,3150.0,x1.5,N
766,BRC,2022-03-31,0.8,3150.0,x1.5,N
767,BRC,2022-06-30,0.6,3150.0,x1.5,N
768,BRC,2022-09-30,0.6,3150.0,x1.5,N
769,BRC,2023-09-30,0.6,3150.0,x1.5,N
770,BRC,2024-06-30,0.8,3150.0,x1.5,N
771,BRC,2024-09-30,0.8,3150.0,x1.5,N
772,BSA,2019-09-30,0.9,4007.5,x1.5,x1.5
773,BSA,2019-12-31,0.9,4007.5,x1.5,x1.5
774,BSA,2020-03-31,0.9,4007.5,x1.5,x1.5
775,BSG,2018-03-31,0.8,4754.5,x1.5,N
776,BSG,2018-06-30,0.8,4754.5,x1.5,N
777,BSG,2018-12-31,0.8,4754.5,x1.5,N
778,BSG,2019-03-31,0.8,4754.5,x1.5,N
779,BSG,2019-06-30,0.8,4754.5,x1.5,N
780,BSG,2019-09-30,0.9,4754.5,x1.5,N
781,BSI,2015-09-30,0.9,825343.5,x2,x2
782,BSI,2015-12-31,0.9,825343.5,x2,x2
783,BSI,2016-03-31,0.8,825343.5,x2,x2
784,BSI,2016-06-30,0.8,825343.5,x2,x2
785,BSI,2016-12-31,0.9,825343.5,x2,x2
786,BSI,2018-03-31,0.9,825343.5,x2,x2
787,BSI,2018-06-30,0.8,825343.5,x2,x2
788,BSI,2018-09-30,0.9,825343.5,x2,x2
789,BSI,2018-12-31,0.7,825343.5,x2,x2
790,BSI,2019-03-31,0.6,825343.5,x2,x2
791,BSI,2019-06-30,0.7,825343.5,x2,x2
792,BSI,2019-09-30,0.6,825343.5,x2,x2
793,BSI,2019-12-31,0.7,825343.5,x2,x2
